group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=64,kv map,10,,,945755.0,ns,174094
size=64,kv map,10,,,1895069.0,ns,348188
size=64,kv map,10,,,2846387.0,ns,522282
size=64,kv map,10,,,3792614.0,ns,696376
size=64,kv map,10,,,4907671.0,ns,870470
size=64,kv map,10,,,5728815.0,ns,1044564
size=64,kv map,10,,,6635723.0,ns,1218658
size=64,kv map,10,,,7618570.0,ns,1392752
size=64,kv map,10,,,8514118.0,ns,1566846
size=64,kv map,10,,,9481816.0,ns,1740940
size=64,kv map,10,,,10412070.0,ns,1915034
size=64,kv map,10,,,11395195.0,ns,2089128
size=64,kv map,10,,,12289046.0,ns,2263222
size=64,kv map,10,,,13232646.0,ns,2437316
size=64,kv map,10,,,14207269.0,ns,2611410
size=64,kv map,10,,,15142412.0,ns,2785504
size=64,kv map,10,,,16066174.0,ns,2959598
size=64,kv map,10,,,17017951.0,ns,3133692
size=64,kv map,10,,,17966284.0,ns,3307786
size=64,kv map,10,,,18907393.0,ns,3481880
size=64,kv map,10,,,19846689.0,ns,3655974
size=64,kv map,10,,,20790875.0,ns,3830068
size=64,kv map,10,,,21735915.0,ns,4004162
size=64,kv map,10,,,22743135.0,ns,4178256
size=64,kv map,10,,,23627634.0,ns,4352350
size=64,kv map,10,,,24585970.0,ns,4526444
size=64,kv map,10,,,25512844.0,ns,4700538
size=64,kv map,10,,,26481900.0,ns,4874632
size=64,kv map,10,,,27864017.0,ns,5048726
size=64,kv map,10,,,28356099.0,ns,5222820
size=64,kv map,10,,,29450218.0,ns,5396914
size=64,kv map,10,,,31039631.0,ns,5571008
size=64,kv map,10,,,32098896.0,ns,5745102
size=64,kv map,10,,,33051317.0,ns,5919196
size=64,kv map,10,,,33900246.0,ns,6093290
size=64,kv map,10,,,34837882.0,ns,6267384
size=64,kv map,10,,,34994775.0,ns,6441478
size=64,kv map,10,,,35928369.0,ns,6615572
size=64,kv map,10,,,36880327.0,ns,6789666
size=64,kv map,10,,,37810323.0,ns,6963760
size=64,kv map,10,,,38751265.0,ns,7137854
size=64,kv map,10,,,39696523.0,ns,7311948
size=64,kv map,10,,,40723786.0,ns,7486042
size=64,kv map,10,,,41584325.0,ns,7660136
size=64,kv map,10,,,42595762.0,ns,7834230
size=64,kv map,10,,,43548054.0,ns,8008324
size=64,kv map,10,,,44469009.0,ns,8182418
size=64,kv map,10,,,45398917.0,ns,8356512
size=64,kv map,10,,,46505582.0,ns,8530606
size=64,kv map,10,,,47230044.0,ns,8704700
size=64,kv map,10,,,48226962.0,ns,8878794
size=64,kv map,10,,,49176214.0,ns,9052888
size=64,kv map,10,,,50165474.0,ns,9226982
size=64,kv map,10,,,51114506.0,ns,9401076
size=64,kv map,10,,,51805778.0,ns,9575170
size=64,kv map,10,,,53099825.0,ns,9749264
size=64,kv map,10,,,55213453.0,ns,9923358
size=64,kv map,10,,,56409374.0,ns,10097452
size=64,kv map,10,,,56769442.0,ns,10271546
size=64,kv map,10,,,56705530.0,ns,10445640
size=64,kv map,10,,,57670789.0,ns,10619734
size=64,kv map,10,,,58432176.0,ns,10793828
size=64,kv map,10,,,59557297.0,ns,10967922
size=64,kv map,10,,,60492907.0,ns,11142016
size=64,kv map,10,,,61319227.0,ns,11316110
size=64,kv map,10,,,62453983.0,ns,11490204
size=64,kv map,10,,,63318893.0,ns,11664298
size=64,kv map,10,,,64354962.0,ns,11838392
size=64,kv map,10,,,65248826.0,ns,12012486
size=64,kv map,10,,,66109578.0,ns,12186580
size=64,kv map,10,,,67020721.0,ns,12360674
size=64,kv map,10,,,67888274.0,ns,12534768
size=64,kv map,10,,,69152733.0,ns,12708862
size=64,kv map,10,,,70075713.0,ns,12882956
size=64,kv map,10,,,72461426.0,ns,13057050
size=64,kv map,10,,,71870088.0,ns,13231144
size=64,kv map,10,,,72772230.0,ns,13405238
size=64,kv map,10,,,73254691.0,ns,13579332
size=64,kv map,10,,,72679755.0,ns,13753426
size=64,kv map,10,,,73598223.0,ns,13927520
size=64,kv map,10,,,74583875.0,ns,14101614
size=64,kv map,10,,,75401840.0,ns,14275708
size=64,kv map,10,,,76322910.0,ns,14449802
size=64,kv map,10,,,76666040.0,ns,14623896
size=64,kv map,10,,,78531321.0,ns,14797990
size=64,kv map,10,,,78984864.0,ns,14972084
size=64,kv map,10,,,81129733.0,ns,15146178
size=64,kv map,10,,,83465433.0,ns,15320272
size=64,kv map,10,,,84142744.0,ns,15494366
size=64,kv map,10,,,85062562.0,ns,15668460
size=64,kv map,10,,,86057478.0,ns,15842554
size=64,kv map,10,,,86974984.0,ns,16016648
size=64,kv map,10,,,88207197.0,ns,16190742
size=64,kv map,10,,,88755218.0,ns,16364836
size=64,kv map,10,,,89790499.0,ns,16538930
size=64,kv map,10,,,90788479.0,ns,16713024
size=64,kv map,10,,,91676974.0,ns,16887118
size=64,kv map,10,,,93268423.0,ns,17061212
size=64,kv map,10,,,93943618.0,ns,17235306
size=64,kv map,10,,,94528487.0,ns,17409400
