group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=8,hash map,15,,,979296.0,ns,170728
size=8,hash map,15,,,1816415.0,ns,341456
size=8,hash map,15,,,2796806.0,ns,512184
size=8,hash map,15,,,3793359.0,ns,682912
size=8,hash map,15,,,4798336.0,ns,853640
size=8,hash map,15,,,5858742.0,ns,1024368
size=8,hash map,15,,,6953256.0,ns,1195096
size=8,hash map,15,,,7677441.0,ns,1365824
size=8,hash map,15,,,8551477.0,ns,1536552
size=8,hash map,15,,,9494557.0,ns,1707280
size=8,hash map,15,,,10441074.0,ns,1878008
size=8,hash map,15,,,11177914.0,ns,2048736
size=8,hash map,15,,,12266245.0,ns,2219464
size=8,hash map,15,,,13340273.0,ns,2390192
size=8,hash map,15,,,14387272.0,ns,2560920
size=8,hash map,15,,,15131027.0,ns,2731648
size=8,hash map,15,,,16066119.0,ns,2902376
size=8,hash map,15,,,16999369.0,ns,3073104
size=8,hash map,15,,,17702234.0,ns,3243832
size=8,hash map,15,,,18934735.0,ns,3414560
size=8,hash map,15,,,19838388.0,ns,3585288
size=8,hash map,15,,,20818946.0,ns,3756016
size=8,hash map,15,,,21741748.0,ns,3926744
size=8,hash map,15,,,22672092.0,ns,4097472
size=8,hash map,15,,,23720766.0,ns,4268200
size=8,hash map,15,,,24659126.0,ns,4438928
size=8,hash map,15,,,25589746.0,ns,4609656
size=8,hash map,15,,,26587557.0,ns,4780384
size=8,hash map,15,,,27550829.0,ns,4951112
size=8,hash map,15,,,28512707.0,ns,5121840
size=8,hash map,15,,,29404696.0,ns,5292568
size=8,hash map,15,,,30446061.0,ns,5463296
size=8,hash map,15,,,31321410.0,ns,5634024
size=8,hash map,15,,,32266704.0,ns,5804752
size=8,hash map,15,,,35462351.0,ns,5975480
size=8,hash map,15,,,34917236.0,ns,6146208
size=8,hash map,15,,,35700429.0,ns,6316936
size=8,hash map,15,,,39340781.0,ns,6487664
size=8,hash map,15,,,37610290.0,ns,6658392
size=8,hash map,15,,,37671900.0,ns,6829120
size=8,hash map,15,,,38784023.0,ns,6999848
size=8,hash map,15,,,39830216.0,ns,7170576
size=8,hash map,15,,,40798252.0,ns,7341304
size=8,hash map,15,,,41733821.0,ns,7512032
size=8,hash map,15,,,42703921.0,ns,7682760
size=8,hash map,15,,,43751824.0,ns,7853488
size=8,hash map,15,,,44265974.0,ns,8024216
size=8,hash map,15,,,45254926.0,ns,8194944
size=8,hash map,15,,,46483696.0,ns,8365672
size=8,hash map,15,,,47494238.0,ns,8536400
size=8,hash map,15,,,48630390.0,ns,8707128
size=8,hash map,15,,,49359922.0,ns,8877856
size=8,hash map,15,,,50377989.0,ns,9048584
size=8,hash map,15,,,50952344.0,ns,9219312
size=8,hash map,15,,,52315687.0,ns,9390040
size=8,hash map,15,,,52895827.0,ns,9560768
size=8,hash map,15,,,53752488.0,ns,9731496
size=8,hash map,15,,,54586394.0,ns,9902224
size=8,hash map,15,,,55874075.0,ns,10072952
size=8,hash map,15,,,57177717.0,ns,10243680
size=8,hash map,15,,,57610641.0,ns,10414408
size=8,hash map,15,,,58735179.0,ns,10585136
size=8,hash map,15,,,59680794.0,ns,10755864
size=8,hash map,15,,,60752630.0,ns,10926592
size=8,hash map,15,,,61559255.0,ns,11097320
size=8,hash map,15,,,62324019.0,ns,11268048
size=8,hash map,15,,,63497977.0,ns,11438776
size=8,hash map,15,,,64550394.0,ns,11609504
size=8,hash map,15,,,67433032.0,ns,11780232
size=8,hash map,15,,,69043398.0,ns,11950960
size=8,hash map,15,,,68802768.0,ns,12121688
size=8,hash map,15,,,69156802.0,ns,12292416
size=8,hash map,15,,,69186043.0,ns,12463144
size=8,hash map,15,,,70349942.0,ns,12633872
size=8,hash map,15,,,70978107.0,ns,12804600
size=8,hash map,15,,,71973905.0,ns,12975328
size=8,hash map,15,,,72609150.0,ns,13146056
size=8,hash map,15,,,73791555.0,ns,13316784
size=8,hash map,15,,,74484220.0,ns,13487512
size=8,hash map,15,,,75904000.0,ns,13658240
size=8,hash map,15,,,76989530.0,ns,13828968
size=8,hash map,15,,,77845710.0,ns,13999696
size=8,hash map,15,,,78831880.0,ns,14170424
size=8,hash map,15,,,79811156.0,ns,14341152
size=8,hash map,15,,,80343781.0,ns,14511880
size=8,hash map,15,,,81104851.0,ns,14682608
size=8,hash map,15,,,82415075.0,ns,14853336
size=8,hash map,15,,,83194886.0,ns,15024064
size=8,hash map,15,,,84069364.0,ns,15194792
size=8,hash map,15,,,84770025.0,ns,15365520
size=8,hash map,15,,,85754462.0,ns,15536248
size=8,hash map,15,,,86834422.0,ns,15706976
size=8,hash map,15,,,88969749.0,ns,15877704
size=8,hash map,15,,,89890196.0,ns,16048432
size=8,hash map,15,,,88691651.0,ns,16219160
size=8,hash map,15,,,89771211.0,ns,16389888
size=8,hash map,15,,,90226892.0,ns,16560616
size=8,hash map,15,,,90660192.0,ns,16731344
size=8,hash map,15,,,91821089.0,ns,16902072
size=8,hash map,15,,,93207421.0,ns,17072800
