group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=64,simd8 map,50,,,982500.0,ns,70206
size=64,simd8 map,50,,,1917603.0,ns,140412
size=64,simd8 map,50,,,3092161.0,ns,210618
size=64,simd8 map,50,,,3836890.0,ns,280824
size=64,simd8 map,50,,,5068567.0,ns,351030
size=64,simd8 map,50,,,5834796.0,ns,421236
size=64,simd8 map,50,,,6733558.0,ns,491442
size=64,simd8 map,50,,,7722297.0,ns,561648
size=64,simd8 map,50,,,8629394.0,ns,631854
size=64,simd8 map,50,,,9599012.0,ns,702060
size=64,simd8 map,50,,,10555891.0,ns,772266
size=64,simd8 map,50,,,11517883.0,ns,842472
size=64,simd8 map,50,,,12484201.0,ns,912678
size=64,simd8 map,50,,,13449024.0,ns,982884
size=64,simd8 map,50,,,14403777.0,ns,1053090
size=64,simd8 map,50,,,15354563.0,ns,1123296
size=64,simd8 map,50,,,16322599.0,ns,1193502
size=64,simd8 map,50,,,17278859.0,ns,1263708
size=64,simd8 map,50,,,18230980.0,ns,1333914
size=64,simd8 map,50,,,19205600.0,ns,1404120
size=64,simd8 map,50,,,20159208.0,ns,1474326
size=64,simd8 map,50,,,21194195.0,ns,1544532
size=64,simd8 map,50,,,22121949.0,ns,1614738
size=64,simd8 map,50,,,23035417.0,ns,1684944
size=64,simd8 map,50,,,24004607.0,ns,1755150
size=64,simd8 map,50,,,24959871.0,ns,1825356
size=64,simd8 map,50,,,25966307.0,ns,1895562
size=64,simd8 map,50,,,26929196.0,ns,1965768
size=64,simd8 map,50,,,27846626.0,ns,2035974
size=64,simd8 map,50,,,28854094.0,ns,2106180
size=64,simd8 map,50,,,29835088.0,ns,2176386
size=64,simd8 map,50,,,30187390.0,ns,2246592
size=64,simd8 map,50,,,31103419.0,ns,2316798
size=64,simd8 map,50,,,32043972.0,ns,2387004
size=64,simd8 map,50,,,33027197.0,ns,2457210
size=64,simd8 map,50,,,34012252.0,ns,2527416
size=64,simd8 map,50,,,34968437.0,ns,2597622
size=64,simd8 map,50,,,36539486.0,ns,2667828
size=64,simd8 map,50,,,37635114.0,ns,2738034
size=64,simd8 map,50,,,38418524.0,ns,2808240
size=64,simd8 map,50,,,39401659.0,ns,2878446
size=64,simd8 map,50,,,40348253.0,ns,2948652
size=64,simd8 map,50,,,41685199.0,ns,3018858
size=64,simd8 map,50,,,42252305.0,ns,3089064
size=64,simd8 map,50,,,43287340.0,ns,3159270
size=64,simd8 map,50,,,44302701.0,ns,3229476
size=64,simd8 map,50,,,45108849.0,ns,3299682
size=64,simd8 map,50,,,46031394.0,ns,3369888
size=64,simd8 map,50,,,45932299.0,ns,3440094
size=64,simd8 map,50,,,46929027.0,ns,3510300
size=64,simd8 map,50,,,47681980.0,ns,3580506
size=64,simd8 map,50,,,49090844.0,ns,3650712
size=64,simd8 map,50,,,50869389.0,ns,3720918
size=64,simd8 map,50,,,51872083.0,ns,3791124
size=64,simd8 map,50,,,52879619.0,ns,3861330
size=64,simd8 map,50,,,53764919.0,ns,3931536
size=64,simd8 map,50,,,54695832.0,ns,4001742
size=64,simd8 map,50,,,55703970.0,ns,4071948
size=64,simd8 map,50,,,56630878.0,ns,4142154
size=64,simd8 map,50,,,57829135.0,ns,4212360
size=64,simd8 map,50,,,58611281.0,ns,4282566
size=64,simd8 map,50,,,59518445.0,ns,4352772
size=64,simd8 map,50,,,60047010.0,ns,4422978
size=64,simd8 map,50,,,60035893.0,ns,4493184
size=64,simd8 map,50,,,61067541.0,ns,4563390
size=64,simd8 map,50,,,64191075.0,ns,4633596
size=64,simd8 map,50,,,64284131.0,ns,4703802
size=64,simd8 map,50,,,65347266.0,ns,4774008
size=64,simd8 map,50,,,66224762.0,ns,4844214
size=64,simd8 map,50,,,67184601.0,ns,4914420
size=64,simd8 map,50,,,68163353.0,ns,4984626
size=64,simd8 map,50,,,68431955.0,ns,5054832
size=64,simd8 map,50,,,68855079.0,ns,5125038
size=64,simd8 map,50,,,69575714.0,ns,5195244
size=64,simd8 map,50,,,72103528.0,ns,5265450
size=64,simd8 map,50,,,73288877.0,ns,5335656
size=64,simd8 map,50,,,74107998.0,ns,5405862
size=64,simd8 map,50,,,75062928.0,ns,5476068
size=64,simd8 map,50,,,76110620.0,ns,5546274
size=64,simd8 map,50,,,76847421.0,ns,5616480
size=64,simd8 map,50,,,77794495.0,ns,5686686
size=64,simd8 map,50,,,77249523.0,ns,5756892
size=64,simd8 map,50,,,77543973.0,ns,5827098
size=64,simd8 map,50,,,78491887.0,ns,5897304
size=64,simd8 map,50,,,79516887.0,ns,5967510
size=64,simd8 map,50,,,80386692.0,ns,6037716
size=64,simd8 map,50,,,81331490.0,ns,6107922
size=64,simd8 map,50,,,82352935.0,ns,6178128
size=64,simd8 map,50,,,82827757.0,ns,6248334
size=64,simd8 map,50,,,84280696.0,ns,6318540
size=64,simd8 map,50,,,83824577.0,ns,6388746
size=64,simd8 map,50,,,84556938.0,ns,6458952
size=64,simd8 map,50,,,88718986.0,ns,6529158
size=64,simd8 map,50,,,88220417.0,ns,6599364
size=64,simd8 map,50,,,88763748.0,ns,6669570
size=64,simd8 map,50,,,91959328.0,ns,6739776
size=64,simd8 map,50,,,93152069.0,ns,6809982
size=64,simd8 map,50,,,94131974.0,ns,6880188
size=64,simd8 map,50,,,94103581.0,ns,6950394
size=64,simd8 map,50,,,95324244.0,ns,7020600
