group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=64,kv map,5,,,960496.0,ns,222245
size=64,kv map,5,,,1921024.0,ns,444490
size=64,kv map,5,,,2885473.0,ns,666735
size=64,kv map,5,,,3872219.0,ns,888980
size=64,kv map,5,,,4803241.0,ns,1111225
size=64,kv map,5,,,5867322.0,ns,1333470
size=64,kv map,5,,,6797582.0,ns,1555715
size=64,kv map,5,,,7691095.0,ns,1777960
size=64,kv map,5,,,8683597.0,ns,2000205
size=64,kv map,5,,,9616608.0,ns,2222450
size=64,kv map,5,,,10573535.0,ns,2444695
size=64,kv map,5,,,11528222.0,ns,2666940
size=64,kv map,5,,,12491663.0,ns,2889185
size=64,kv map,5,,,13450358.0,ns,3111430
size=64,kv map,5,,,14409664.0,ns,3333675
size=64,kv map,5,,,15372530.0,ns,3555920
size=64,kv map,5,,,16334038.0,ns,3778165
size=64,kv map,5,,,17290973.0,ns,4000410
size=64,kv map,5,,,18290215.0,ns,4222655
size=64,kv map,5,,,19234566.0,ns,4444900
size=64,kv map,5,,,20229567.0,ns,4667145
size=64,kv map,5,,,21136139.0,ns,4889390
size=64,kv map,5,,,22136530.0,ns,5111635
size=64,kv map,5,,,23084454.0,ns,5333880
size=64,kv map,5,,,24018982.0,ns,5556125
size=64,kv map,5,,,24983014.0,ns,5778370
size=64,kv map,5,,,25936475.0,ns,6000615
size=64,kv map,5,,,26980066.0,ns,6222860
size=64,kv map,5,,,27861570.0,ns,6445105
size=64,kv map,5,,,28822262.0,ns,6667350
size=64,kv map,5,,,29790181.0,ns,6889595
size=64,kv map,5,,,30784095.0,ns,7111840
size=64,kv map,5,,,31814256.0,ns,7334085
size=64,kv map,5,,,32664058.0,ns,7556330
size=64,kv map,5,,,33626910.0,ns,7778575
size=64,kv map,5,,,34586177.0,ns,8000820
size=64,kv map,5,,,35562904.0,ns,8223065
size=64,kv map,5,,,36664395.0,ns,8445310
size=64,kv map,5,,,37424051.0,ns,8667555
size=64,kv map,5,,,38386513.0,ns,8889800
size=64,kv map,5,,,40540507.0,ns,9112045
size=64,kv map,5,,,41506835.0,ns,9334290
size=64,kv map,5,,,42439444.0,ns,9556535
size=64,kv map,5,,,42268942.0,ns,9778780
size=64,kv map,5,,,43249044.0,ns,10001025
size=64,kv map,5,,,44189878.0,ns,10223270
size=64,kv map,5,,,45152347.0,ns,10445515
size=64,kv map,5,,,46113992.0,ns,10667760
size=64,kv map,5,,,47342301.0,ns,10890005
size=64,kv map,5,,,48037990.0,ns,11112250
size=64,kv map,5,,,49041345.0,ns,11334495
size=64,kv map,5,,,49821247.0,ns,11556740
size=64,kv map,5,,,52415859.0,ns,11778985
size=64,kv map,5,,,53357780.0,ns,12001230
size=64,kv map,5,,,53174850.0,ns,12223475
size=64,kv map,5,,,53797562.0,ns,12445720
size=64,kv map,5,,,54767350.0,ns,12667965
size=64,kv map,5,,,55727997.0,ns,12890210
size=64,kv map,5,,,56953321.0,ns,13112455
size=64,kv map,5,,,57655466.0,ns,13334700
size=64,kv map,5,,,58096353.0,ns,13556945
size=64,kv map,5,,,59387977.0,ns,13779190
size=64,kv map,5,,,60530802.0,ns,14001435
size=64,kv map,5,,,61494088.0,ns,14223680
size=64,kv map,5,,,62461005.0,ns,14445925
size=64,kv map,5,,,63408375.0,ns,14668170
size=64,kv map,5,,,64606330.0,ns,14890415
size=64,kv map,5,,,65374317.0,ns,15112660
size=64,kv map,5,,,66297209.0,ns,15334905
size=64,kv map,5,,,67326124.0,ns,15557150
size=64,kv map,5,,,68235440.0,ns,15779395
size=64,kv map,5,,,69182947.0,ns,16001640
size=64,kv map,5,,,70628401.0,ns,16223885
size=64,kv map,5,,,71099047.0,ns,16446130
size=64,kv map,5,,,74809834.0,ns,16668375
size=64,kv map,5,,,73869917.0,ns,16890620
size=64,kv map,5,,,74547511.0,ns,17112865
size=64,kv map,5,,,74938076.0,ns,17335110
size=64,kv map,5,,,75915820.0,ns,17557355
size=64,kv map,5,,,76859610.0,ns,17779600
size=64,kv map,5,,,77858289.0,ns,18001845
size=64,kv map,5,,,78782141.0,ns,18224090
size=64,kv map,5,,,79825372.0,ns,18446335
size=64,kv map,5,,,80719992.0,ns,18668580
size=64,kv map,5,,,81677367.0,ns,18890825
size=64,kv map,5,,,83768588.0,ns,19113070
size=64,kv map,5,,,83716308.0,ns,19335315
size=64,kv map,5,,,84594324.0,ns,19557560
size=64,kv map,5,,,86387936.0,ns,19779805
size=64,kv map,5,,,86457850.0,ns,20002050
size=64,kv map,5,,,87418828.0,ns,20224295
size=64,kv map,5,,,88427326.0,ns,20446540
size=64,kv map,5,,,89379784.0,ns,20668785
size=64,kv map,5,,,90409718.0,ns,20891030
size=64,kv map,5,,,93320634.0,ns,21113275
size=64,kv map,5,,,95216408.0,ns,21335520
size=64,kv map,5,,,93223432.0,ns,21557765
size=64,kv map,5,,,94152622.0,ns,21780010
size=64,kv map,5,,,95383195.0,ns,22002255
size=64,kv map,5,,,96088178.0,ns,22224500
