group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=64,hash map,5,,,992218.0,ns,163598
size=64,hash map,5,,,1892622.0,ns,327196
size=64,hash map,5,,,2842369.0,ns,490794
size=64,hash map,5,,,3815137.0,ns,654392
size=64,hash map,5,,,4899994.0,ns,817990
size=64,hash map,5,,,5706301.0,ns,981588
size=64,hash map,5,,,6662235.0,ns,1145186
size=64,hash map,5,,,7483970.0,ns,1308784
size=64,hash map,5,,,8525055.0,ns,1472382
size=64,hash map,5,,,9471607.0,ns,1635980
size=64,hash map,5,,,10417238.0,ns,1799578
size=64,hash map,5,,,11349991.0,ns,1963176
size=64,hash map,5,,,12067435.0,ns,2126774
size=64,hash map,5,,,12898640.0,ns,2290372
size=64,hash map,5,,,13826474.0,ns,2453970
size=64,hash map,5,,,14739964.0,ns,2617568
size=64,hash map,5,,,15719870.0,ns,2781166
size=64,hash map,5,,,16626607.0,ns,2944764
size=64,hash map,5,,,17715095.0,ns,3108362
size=64,hash map,5,,,18509523.0,ns,3271960
size=64,hash map,5,,,19414499.0,ns,3435558
size=64,hash map,5,,,20361568.0,ns,3599156
size=64,hash map,5,,,21378616.0,ns,3762754
size=64,hash map,5,,,22215375.0,ns,3926352
size=64,hash map,5,,,23184515.0,ns,4089950
size=64,hash map,5,,,24043817.0,ns,4253548
size=64,hash map,5,,,25010293.0,ns,4417146
size=64,hash map,5,,,25882299.0,ns,4580744
size=64,hash map,5,,,26867353.0,ns,4744342
size=64,hash map,5,,,27719441.0,ns,4907940
size=64,hash map,5,,,28634106.0,ns,5071538
size=64,hash map,5,,,29645405.0,ns,5235136
size=64,hash map,5,,,30542265.0,ns,5398734
size=64,hash map,5,,,31370847.0,ns,5562332
size=64,hash map,5,,,32378430.0,ns,5725930
size=64,hash map,5,,,33306299.0,ns,5889528
size=64,hash map,5,,,34414401.0,ns,6053126
size=64,hash map,5,,,35230174.0,ns,6216724
size=64,hash map,5,,,35935952.0,ns,6380322
size=64,hash map,5,,,37100049.0,ns,6543920
size=64,hash map,5,,,37967871.0,ns,6707518
size=64,hash map,5,,,38888640.0,ns,6871116
size=64,hash map,5,,,39661956.0,ns,7034714
size=64,hash map,5,,,40438755.0,ns,7198312
size=64,hash map,5,,,41715741.0,ns,7361910
size=64,hash map,5,,,42587199.0,ns,7525508
size=64,hash map,5,,,43392961.0,ns,7689106
size=64,hash map,5,,,44411676.0,ns,7852704
size=64,hash map,5,,,45228062.0,ns,8016302
size=64,hash map,5,,,46421771.0,ns,8179900
size=64,hash map,5,,,47230863.0,ns,8343498
size=64,hash map,5,,,48250309.0,ns,8507096
size=64,hash map,5,,,49239540.0,ns,8670694
size=64,hash map,5,,,49985535.0,ns,8834292
size=64,hash map,5,,,50823739.0,ns,8997890
size=64,hash map,5,,,52656902.0,ns,9161488
size=64,hash map,5,,,53896118.0,ns,9325086
size=64,hash map,5,,,53450486.0,ns,9488684
size=64,hash map,5,,,54370655.0,ns,9652282
size=64,hash map,5,,,55463782.0,ns,9815880
size=64,hash map,5,,,56488007.0,ns,9979478
size=64,hash map,5,,,57309390.0,ns,10143076
size=64,hash map,5,,,58207727.0,ns,10306674
size=64,hash map,5,,,58987335.0,ns,10470272
size=64,hash map,5,,,59739206.0,ns,10633870
size=64,hash map,5,,,60816216.0,ns,10797468
size=64,hash map,5,,,61443492.0,ns,10961066
size=64,hash map,5,,,62694848.0,ns,11124664
size=64,hash map,5,,,63577503.0,ns,11288262
size=64,hash map,5,,,64431545.0,ns,11451860
size=64,hash map,5,,,65418027.0,ns,11615458
size=64,hash map,5,,,66343301.0,ns,11779056
size=64,hash map,5,,,67209322.0,ns,11942654
size=64,hash map,5,,,70093989.0,ns,12106252
size=64,hash map,5,,,69446343.0,ns,12269850
size=64,hash map,5,,,70503325.0,ns,12433448
size=64,hash map,5,,,71262600.0,ns,12597046
size=64,hash map,5,,,72151432.0,ns,12760644
size=64,hash map,5,,,72995576.0,ns,12924242
size=64,hash map,5,,,73774594.0,ns,13087840
size=64,hash map,5,,,74706775.0,ns,13251438
size=64,hash map,5,,,75500810.0,ns,13415036
size=64,hash map,5,,,76654374.0,ns,13578634
size=64,hash map,5,,,77480772.0,ns,13742232
size=64,hash map,5,,,78509873.0,ns,13905830
size=64,hash map,5,,,79490461.0,ns,14069428
size=64,hash map,5,,,80550109.0,ns,14233026
size=64,hash map,5,,,81542832.0,ns,14396624
size=64,hash map,5,,,82248082.0,ns,14560222
size=64,hash map,5,,,83218306.0,ns,14723820
size=64,hash map,5,,,84272546.0,ns,14887418
size=64,hash map,5,,,85197862.0,ns,15051016
size=64,hash map,5,,,86175825.0,ns,15214614
size=64,hash map,5,,,86828812.0,ns,15378212
size=64,hash map,5,,,88107913.0,ns,15541810
size=64,hash map,5,,,88844648.0,ns,15705408
size=64,hash map,5,,,90360874.0,ns,15869006
size=64,hash map,5,,,91364347.0,ns,16032604
size=64,hash map,5,,,91905439.0,ns,16196202
size=64,hash map,5,,,92643945.0,ns,16359800
