group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=64,hash map,50,,,951882.0,ns,174243
size=64,hash map,50,,,1885771.0,ns,348486
size=64,hash map,50,,,2876915.0,ns,522729
size=64,hash map,50,,,3843907.0,ns,696972
size=64,hash map,50,,,4714821.0,ns,871215
size=64,hash map,50,,,6098105.0,ns,1045458
size=64,hash map,50,,,6733658.0,ns,1219701
size=64,hash map,50,,,7644738.0,ns,1393944
size=64,hash map,50,,,8505878.0,ns,1568187
size=64,hash map,50,,,9448618.0,ns,1742430
size=64,hash map,50,,,10395176.0,ns,1916673
size=64,hash map,50,,,11336159.0,ns,2090916
size=64,hash map,50,,,12284718.0,ns,2265159
size=64,hash map,50,,,13273911.0,ns,2439402
size=64,hash map,50,,,14150750.0,ns,2613645
size=64,hash map,50,,,15112786.0,ns,2787888
size=64,hash map,50,,,16049836.0,ns,2962131
size=64,hash map,50,,,17060883.0,ns,3136374
size=64,hash map,50,,,18260920.0,ns,3310617
size=64,hash map,50,,,18896759.0,ns,3484860
size=64,hash map,50,,,19836477.0,ns,3659103
size=64,hash map,50,,,20778632.0,ns,3833346
size=64,hash map,50,,,21723709.0,ns,4007589
size=64,hash map,50,,,22665980.0,ns,4181832
size=64,hash map,50,,,23622505.0,ns,4356075
size=64,hash map,50,,,24558615.0,ns,4530318
size=64,hash map,50,,,25598935.0,ns,4704561
size=64,hash map,50,,,26542444.0,ns,4878804
size=64,hash map,50,,,27536780.0,ns,5053047
size=64,hash map,50,,,28482582.0,ns,5227290
size=64,hash map,50,,,29217068.0,ns,5401533
size=64,hash map,50,,,30278631.0,ns,5575776
size=64,hash map,50,,,31172198.0,ns,5750019
size=64,hash map,50,,,32161045.0,ns,5924262
size=64,hash map,50,,,32942817.0,ns,6098505
size=64,hash map,50,,,34198453.0,ns,6272748
size=64,hash map,50,,,35133969.0,ns,6446991
size=64,hash map,50,,,36242827.0,ns,6621234
size=64,hash map,50,,,36895560.0,ns,6795477
size=64,hash map,50,,,37780727.0,ns,6969720
size=64,hash map,50,,,38743607.0,ns,7143963
size=64,hash map,50,,,40741759.0,ns,7318206
size=64,hash map,50,,,40766756.0,ns,7492449
size=64,hash map,50,,,41748027.0,ns,7666692
size=64,hash map,50,,,42706611.0,ns,7840935
size=64,hash map,50,,,43533858.0,ns,8015178
size=64,hash map,50,,,44709480.0,ns,8189421
size=64,hash map,50,,,45553263.0,ns,8363664
size=64,hash map,50,,,46615574.0,ns,8537907
size=64,hash map,50,,,47312242.0,ns,8712150
size=64,hash map,50,,,48419787.0,ns,8886393
size=64,hash map,50,,,49303913.0,ns,9060636
size=64,hash map,50,,,50298417.0,ns,9234879
size=64,hash map,50,,,51246584.0,ns,9409122
size=64,hash map,50,,,52192957.0,ns,9583365
size=64,hash map,50,,,53189473.0,ns,9757608
size=64,hash map,50,,,54133323.0,ns,9931851
size=64,hash map,50,,,55029746.0,ns,10106094
size=64,hash map,50,,,56243695.0,ns,10280337
size=64,hash map,50,,,56920514.0,ns,10454580
size=64,hash map,50,,,58178665.0,ns,10628823
size=64,hash map,50,,,65855737.0,ns,10803066
size=64,hash map,50,,,60224994.0,ns,10977309
size=64,hash map,50,,,60804771.0,ns,11151552
size=64,hash map,50,,,61550382.0,ns,11325795
size=64,hash map,50,,,62360694.0,ns,11500038
size=64,hash map,50,,,63629550.0,ns,11674281
size=64,hash map,50,,,64452231.0,ns,11848524
size=64,hash map,50,,,65338656.0,ns,12022767
size=64,hash map,50,,,66100665.0,ns,12197010
size=64,hash map,50,,,67197474.0,ns,12371253
size=64,hash map,50,,,68275251.0,ns,12545496
size=64,hash map,50,,,69173472.0,ns,12719739
size=64,hash map,50,,,70216225.0,ns,12893982
size=64,hash map,50,,,71096197.0,ns,13068225
size=64,hash map,50,,,72197705.0,ns,13242468
size=64,hash map,50,,,72739857.0,ns,13416711
size=64,hash map,50,,,73995593.0,ns,13590954
size=64,hash map,50,,,74676719.0,ns,13765197
size=64,hash map,50,,,75475097.0,ns,13939440
size=64,hash map,50,,,78805461.0,ns,14113683
size=64,hash map,50,,,77740981.0,ns,14287926
size=64,hash map,50,,,78453620.0,ns,14462169
size=64,hash map,50,,,79982757.0,ns,14636412
size=64,hash map,50,,,80784808.0,ns,14810655
size=64,hash map,50,,,81699677.0,ns,14984898
size=64,hash map,50,,,82587459.0,ns,15159141
size=64,hash map,50,,,83541574.0,ns,15333384
size=64,hash map,50,,,84197147.0,ns,15507627
size=64,hash map,50,,,85694015.0,ns,15681870
size=64,hash map,50,,,86296439.0,ns,15856113
size=64,hash map,50,,,87245699.0,ns,16030356
size=64,hash map,50,,,88318914.0,ns,16204599
size=64,hash map,50,,,90078739.0,ns,16378842
size=64,hash map,50,,,89711326.0,ns,16553085
size=64,hash map,50,,,90543787.0,ns,16727328
size=64,hash map,50,,,91597326.0,ns,16901571
size=64,hash map,50,,,92687994.0,ns,17075814
size=64,hash map,50,,,93899269.0,ns,17250057
size=64,hash map,50,,,94966447.0,ns,17424300
