group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=32,binary map,50,,,989708.0,ns,146783
size=32,binary map,50,,,1901603.0,ns,293566
size=32,binary map,50,,,2960803.0,ns,440349
size=32,binary map,50,,,3824076.0,ns,587132
size=32,binary map,50,,,4749147.0,ns,733915
size=32,binary map,50,,,6435039.0,ns,880698
size=32,binary map,50,,,6756404.0,ns,1027481
size=32,binary map,50,,,7696649.0,ns,1174264
size=32,binary map,50,,,8574077.0,ns,1321047
size=32,binary map,50,,,9529396.0,ns,1467830
size=32,binary map,50,,,10476859.0,ns,1614613
size=32,binary map,50,,,11422738.0,ns,1761396
size=32,binary map,50,,,12434370.0,ns,1908179
size=32,binary map,50,,,13329076.0,ns,2054962
size=32,binary map,50,,,14847764.0,ns,2201745
size=32,binary map,50,,,15226925.0,ns,2348528
size=32,binary map,50,,,16262985.0,ns,2495311
size=32,binary map,50,,,17288844.0,ns,2642094
size=32,binary map,50,,,18100866.0,ns,2788877
size=32,binary map,50,,,19369543.0,ns,2935660
size=32,binary map,50,,,20001109.0,ns,3082443
size=32,binary map,50,,,20956237.0,ns,3229226
size=32,binary map,50,,,21902969.0,ns,3376009
size=32,binary map,50,,,22894718.0,ns,3522792
size=32,binary map,50,,,24074630.0,ns,3669575
size=32,binary map,50,,,24883634.0,ns,3816358
size=32,binary map,50,,,25738175.0,ns,3963141
size=32,binary map,50,,,26667891.0,ns,4109924
size=32,binary map,50,,,27351631.0,ns,4256707
size=32,binary map,50,,,28588319.0,ns,4403490
size=32,binary map,50,,,29034729.0,ns,4550273
size=32,binary map,50,,,29691676.0,ns,4697056
size=32,binary map,50,,,31257798.0,ns,4843839
size=32,binary map,50,,,32886608.0,ns,4990622
size=32,binary map,50,,,33402150.0,ns,5137405
size=32,binary map,50,,,34398394.0,ns,5284188
size=32,binary map,50,,,35347360.0,ns,5430971
size=32,binary map,50,,,36536073.0,ns,5577754
size=32,binary map,50,,,37184032.0,ns,5724537
size=32,binary map,50,,,38129622.0,ns,5871320
size=32,binary map,50,,,39163800.0,ns,6018103
size=32,binary map,50,,,39550041.0,ns,6164886
size=32,binary map,50,,,40270839.0,ns,6311669
size=32,binary map,50,,,41628003.0,ns,6458452
size=32,binary map,50,,,42592248.0,ns,6605235
size=32,binary map,50,,,42772254.0,ns,6752018
size=32,binary map,50,,,44092510.0,ns,6898801
size=32,binary map,50,,,45940783.0,ns,7045584
size=32,binary map,50,,,47550827.0,ns,7192367
size=32,binary map,50,,,48302774.0,ns,7339150
size=32,binary map,50,,,48928190.0,ns,7485933
size=32,binary map,50,,,50036942.0,ns,7632716
size=32,binary map,50,,,50905643.0,ns,7779499
size=32,binary map,50,,,51645027.0,ns,7926282
size=32,binary map,50,,,52582064.0,ns,8073065
size=32,binary map,50,,,53454015.0,ns,8219848
size=32,binary map,50,,,55960539.0,ns,8366631
size=32,binary map,50,,,56635636.0,ns,8513414
size=32,binary map,50,,,56703796.0,ns,8660197
size=32,binary map,50,,,58549506.0,ns,8806980
size=32,binary map,50,,,58191716.0,ns,8953763
size=32,binary map,50,,,59429097.0,ns,9100546
size=32,binary map,50,,,59209931.0,ns,9247329
size=32,binary map,50,,,59475201.0,ns,9394112
size=32,binary map,50,,,60925351.0,ns,9540895
size=32,binary map,50,,,63840370.0,ns,9687678
size=32,binary map,50,,,64735610.0,ns,9834461
size=32,binary map,50,,,64822119.0,ns,9981244
size=32,binary map,50,,,66414316.0,ns,10128027
size=32,binary map,50,,,67056284.0,ns,10274810
size=32,binary map,50,,,69072637.0,ns,10421593
size=32,binary map,50,,,68680543.0,ns,10568376
size=32,binary map,50,,,68957771.0,ns,10715159
size=32,binary map,50,,,69986555.0,ns,10861942
size=32,binary map,50,,,70155920.0,ns,11008725
size=32,binary map,50,,,71929402.0,ns,11155508
size=32,binary map,50,,,73875122.0,ns,11302291
size=32,binary map,50,,,74845021.0,ns,11449074
size=32,binary map,50,,,75550066.0,ns,11595857
size=32,binary map,50,,,75242499.0,ns,11742640
size=32,binary map,50,,,76885532.0,ns,11889423
size=32,binary map,50,,,76892035.0,ns,12036206
size=32,binary map,50,,,80205393.0,ns,12182989
size=32,binary map,50,,,81851833.0,ns,12329772
size=32,binary map,50,,,82872323.0,ns,12476555
size=32,binary map,50,,,81324327.0,ns,12623338
size=32,binary map,50,,,81459829.0,ns,12770121
size=32,binary map,50,,,81655526.0,ns,12916904
size=32,binary map,50,,,82704584.0,ns,13063687
size=32,binary map,50,,,84571973.0,ns,13210470
size=32,binary map,50,,,85340530.0,ns,13357253
size=32,binary map,50,,,86104478.0,ns,13504036
size=32,binary map,50,,,87879408.0,ns,13650819
size=32,binary map,50,,,88285701.0,ns,13797602
size=32,binary map,50,,,88751549.0,ns,13944385
size=32,binary map,50,,,89762894.0,ns,14091168
size=32,binary map,50,,,91241074.0,ns,14237951
size=32,binary map,50,,,90641990.0,ns,14384734
size=32,binary map,50,,,91894491.0,ns,14531517
size=32,binary map,50,,,92514788.0,ns,14678300
