group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=64,simd16 map,50,,,967904.0,ns,104708
size=64,simd16 map,50,,,1934547.0,ns,209416
size=64,simd16 map,50,,,2904309.0,ns,314124
size=64,simd16 map,50,,,3885203.0,ns,418832
size=64,simd16 map,50,,,4844278.0,ns,523540
size=64,simd16 map,50,,,5793698.0,ns,628248
size=64,simd16 map,50,,,6974483.0,ns,732956
size=64,simd16 map,50,,,7795723.0,ns,837664
size=64,simd16 map,50,,,8755075.0,ns,942372
size=64,simd16 map,50,,,9680945.0,ns,1047080
size=64,simd16 map,50,,,10647866.0,ns,1151788
size=64,simd16 map,50,,,11596526.0,ns,1256496
size=64,simd16 map,50,,,12564443.0,ns,1361204
size=64,simd16 map,50,,,13507352.0,ns,1465912
size=64,simd16 map,50,,,14523669.0,ns,1570620
size=64,simd16 map,50,,,15473487.0,ns,1675328
size=64,simd16 map,50,,,16455548.0,ns,1780036
size=64,simd16 map,50,,,17396823.0,ns,1884744
size=64,simd16 map,50,,,18267892.0,ns,1989452
size=64,simd16 map,50,,,19372612.0,ns,2094160
size=64,simd16 map,50,,,20293705.0,ns,2198868
size=64,simd16 map,50,,,21292064.0,ns,2303576
size=64,simd16 map,50,,,22247309.0,ns,2408284
size=64,simd16 map,50,,,23174549.0,ns,2512992
size=64,simd16 map,50,,,23591988.0,ns,2617700
size=64,simd16 map,50,,,24604493.0,ns,2722408
size=64,simd16 map,50,,,25489060.0,ns,2827116
size=64,simd16 map,50,,,26471265.0,ns,2931824
size=64,simd16 map,50,,,27421831.0,ns,3036532
size=64,simd16 map,50,,,28326406.0,ns,3141240
size=64,simd16 map,50,,,29405737.0,ns,3245948
size=64,simd16 map,50,,,30958074.0,ns,3350656
size=64,simd16 map,50,,,31944185.0,ns,3455364
size=64,simd16 map,50,,,32874082.0,ns,3560072
size=64,simd16 map,50,,,33779330.0,ns,3664780
size=64,simd16 map,50,,,34758088.0,ns,3769488
size=64,simd16 map,50,,,35708496.0,ns,3874196
size=64,simd16 map,50,,,36298000.0,ns,3978904
size=64,simd16 map,50,,,37664460.0,ns,4083612
size=64,simd16 map,50,,,38593751.0,ns,4188320
size=64,simd16 map,50,,,39573876.0,ns,4293028
size=64,simd16 map,50,,,40640442.0,ns,4397736
size=64,simd16 map,50,,,41513571.0,ns,4502444
size=64,simd16 map,50,,,42597838.0,ns,4607152
size=64,simd16 map,50,,,43491341.0,ns,4711860
size=64,simd16 map,50,,,44455691.0,ns,4816568
size=64,simd16 map,50,,,45546032.0,ns,4921276
size=64,simd16 map,50,,,46209089.0,ns,5025984
size=64,simd16 map,50,,,46302915.0,ns,5130692
size=64,simd16 map,50,,,47353846.0,ns,5235400
size=64,simd16 map,50,,,47960617.0,ns,5340108
size=64,simd16 map,50,,,49672259.0,ns,5444816
size=64,simd16 map,50,,,51068928.0,ns,5549524
size=64,simd16 map,50,,,52140371.0,ns,5654232
size=64,simd16 map,50,,,53089723.0,ns,5758940
size=64,simd16 map,50,,,53944932.0,ns,5863648
size=64,simd16 map,50,,,55041095.0,ns,5968356
size=64,simd16 map,50,,,55753753.0,ns,6073064
size=64,simd16 map,50,,,57237876.0,ns,6177772
size=64,simd16 map,50,,,57864022.0,ns,6282480
size=64,simd16 map,50,,,58904644.0,ns,6387188
size=64,simd16 map,50,,,60028413.0,ns,6491896
size=64,simd16 map,50,,,61032697.0,ns,6596604
size=64,simd16 map,50,,,61604993.0,ns,6701312
size=64,simd16 map,50,,,62907185.0,ns,6806020
size=64,simd16 map,50,,,63701304.0,ns,6910728
size=64,simd16 map,50,,,64723604.0,ns,7015436
size=64,simd16 map,50,,,65664808.0,ns,7120144
size=64,simd16 map,50,,,66412494.0,ns,7224852
size=64,simd16 map,50,,,67642531.0,ns,7329560
size=64,simd16 map,50,,,67581962.0,ns,7434268
size=64,simd16 map,50,,,68001453.0,ns,7538976
size=64,simd16 map,50,,,68702130.0,ns,7643684
size=64,simd16 map,50,,,71186258.0,ns,7748392
size=64,simd16 map,50,,,72393303.0,ns,7853100
size=64,simd16 map,50,,,73469084.0,ns,7957808
size=64,simd16 map,50,,,74369240.0,ns,8062516
size=64,simd16 map,50,,,75432876.0,ns,8167224
size=64,simd16 map,50,,,75036173.0,ns,8271932
size=64,simd16 map,50,,,75125704.0,ns,8376640
size=64,simd16 map,50,,,75939847.0,ns,8481348
size=64,simd16 map,50,,,76988213.0,ns,8586056
size=64,simd16 map,50,,,77862203.0,ns,8690764
size=64,simd16 map,50,,,79009951.0,ns,8795472
size=64,simd16 map,50,,,79882913.0,ns,8900180
size=64,simd16 map,50,,,80847175.0,ns,9004888
size=64,simd16 map,50,,,81375491.0,ns,9109596
size=64,simd16 map,50,,,82642135.0,ns,9214304
size=64,simd16 map,50,,,83763957.0,ns,9319012
size=64,simd16 map,50,,,84674717.0,ns,9423720
size=64,simd16 map,50,,,84273509.0,ns,9528428
size=64,simd16 map,50,,,85104572.0,ns,9633136
size=64,simd16 map,50,,,86228547.0,ns,9737844
size=64,simd16 map,50,,,86998157.0,ns,9842552
size=64,simd16 map,50,,,87804672.0,ns,9947260
size=64,simd16 map,50,,,88923561.0,ns,10051968
size=64,simd16 map,50,,,90083265.0,ns,10156676
size=64,simd16 map,50,,,90630574.0,ns,10261384
size=64,simd16 map,50,,,91738307.0,ns,10366092
size=64,simd16 map,50,,,92410476.0,ns,10470800
