group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=64,btree map,1,,,933870.0,ns,159709
size=64,btree map,1,,,1867644.0,ns,319418
size=64,btree map,1,,,2904515.0,ns,479127
size=64,btree map,1,,,3748967.0,ns,638836
size=64,btree map,1,,,4669061.0,ns,798545
size=64,btree map,1,,,5668212.0,ns,958254
size=64,btree map,1,,,6640743.0,ns,1117963
size=64,btree map,1,,,7687838.0,ns,1277672
size=64,btree map,1,,,8688522.0,ns,1437381
size=64,btree map,1,,,9613810.0,ns,1597090
size=64,btree map,1,,,10574026.0,ns,1756799
size=64,btree map,1,,,11574926.0,ns,1916508
size=64,btree map,1,,,12499171.0,ns,2076217
size=64,btree map,1,,,13464297.0,ns,2235926
size=64,btree map,1,,,14459127.0,ns,2395635
size=64,btree map,1,,,15387384.0,ns,2555344
size=64,btree map,1,,,16340754.0,ns,2715053
size=64,btree map,1,,,17335257.0,ns,2874762
size=64,btree map,1,,,18287932.0,ns,3034471
size=64,btree map,1,,,19230471.0,ns,3194180
size=64,btree map,1,,,20232552.0,ns,3353889
size=64,btree map,1,,,21159865.0,ns,3513598
size=64,btree map,1,,,22106123.0,ns,3673307
size=64,btree map,1,,,23142551.0,ns,3833016
size=64,btree map,1,,,24071514.0,ns,3992725
size=64,btree map,1,,,24993260.0,ns,4152434
size=64,btree map,1,,,25956334.0,ns,4312143
size=64,btree map,1,,,26777389.0,ns,4471852
size=64,btree map,1,,,27112988.0,ns,4631561
size=64,btree map,1,,,28077471.0,ns,4791270
size=64,btree map,1,,,28971582.0,ns,4950979
size=64,btree map,1,,,29916525.0,ns,5110688
size=64,btree map,1,,,31553609.0,ns,5270397
size=64,btree map,1,,,32689100.0,ns,5430106
size=64,btree map,1,,,33642247.0,ns,5589815
size=64,btree map,1,,,34631605.0,ns,5749524
size=64,btree map,1,,,35592951.0,ns,5909233
size=64,btree map,1,,,36544190.0,ns,6068942
size=64,btree map,1,,,37546265.0,ns,6228651
size=64,btree map,1,,,38461824.0,ns,6388360
size=64,btree map,1,,,39468907.0,ns,6548069
size=64,btree map,1,,,40373411.0,ns,6707778
size=64,btree map,1,,,41346937.0,ns,6867487
size=64,btree map,1,,,41436730.0,ns,7027196
size=64,btree map,1,,,42097483.0,ns,7186905
size=64,btree map,1,,,43007585.0,ns,7346614
size=64,btree map,1,,,43952726.0,ns,7506323
size=64,btree map,1,,,44925426.0,ns,7666032
size=64,btree map,1,,,47165096.0,ns,7825741
size=64,btree map,1,,,48123932.0,ns,7985450
size=64,btree map,1,,,49075278.0,ns,8145159
size=64,btree map,1,,,50155597.0,ns,8304868
size=64,btree map,1,,,50961363.0,ns,8464577
size=64,btree map,1,,,51936416.0,ns,8624286
size=64,btree map,1,,,52874846.0,ns,8783995
size=64,btree map,1,,,53860198.0,ns,8943704
size=64,btree map,1,,,55034621.0,ns,9103413
size=64,btree map,1,,,55872910.0,ns,9263122
size=64,btree map,1,,,56779533.0,ns,9422831
size=64,btree map,1,,,57710302.0,ns,9582540
size=64,btree map,1,,,58668929.0,ns,9742249
size=64,btree map,1,,,59602202.0,ns,9901958
size=64,btree map,1,,,60606492.0,ns,10061667
size=64,btree map,1,,,61544691.0,ns,10221376
size=64,btree map,1,,,62014461.0,ns,10381085
size=64,btree map,1,,,61770598.0,ns,10540794
size=64,btree map,1,,,62649298.0,ns,10700503
size=64,btree map,1,,,64122806.0,ns,10860212
size=64,btree map,1,,,66444293.0,ns,11019921
size=64,btree map,1,,,67295041.0,ns,11179630
size=64,btree map,1,,,68271486.0,ns,11339339
size=64,btree map,1,,,68696702.0,ns,11499048
size=64,btree map,1,,,69093792.0,ns,11658757
size=64,btree map,1,,,71170608.0,ns,11818466
size=64,btree map,1,,,72192997.0,ns,11978175
size=64,btree map,1,,,73064781.0,ns,12137884
size=64,btree map,1,,,74055610.0,ns,12297593
size=64,btree map,1,,,75006018.0,ns,12457302
size=64,btree map,1,,,75982013.0,ns,12617011
size=64,btree map,1,,,76995512.0,ns,12776720
size=64,btree map,1,,,77888276.0,ns,12936429
size=64,btree map,1,,,78839713.0,ns,13096138
size=64,btree map,1,,,80499347.0,ns,13255847
size=64,btree map,1,,,80710554.0,ns,13415556
size=64,btree map,1,,,81669368.0,ns,13575265
size=64,btree map,1,,,82645278.0,ns,13734974
size=64,btree map,1,,,83671512.0,ns,13894683
size=64,btree map,1,,,84601219.0,ns,14054392
size=64,btree map,1,,,85561374.0,ns,14214101
size=64,btree map,1,,,86481007.0,ns,14373810
size=64,btree map,1,,,86511077.0,ns,14533519
size=64,btree map,1,,,85969721.0,ns,14693228
size=64,btree map,1,,,86975769.0,ns,14852937
size=64,btree map,1,,,87944057.0,ns,15012646
size=64,btree map,1,,,87010870.0,ns,15172355
size=64,btree map,1,,,87270940.0,ns,15332064
size=64,btree map,1,,,88180044.0,ns,15491773
size=64,btree map,1,,,89199369.0,ns,15651482
size=64,btree map,1,,,90075595.0,ns,15811191
size=64,btree map,1,,,90907067.0,ns,15970900
