group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=128,kv map,5,,,1169566.0,ns,223329
size=128,kv map,5,,,1935731.0,ns,446658
size=128,kv map,5,,,2899415.0,ns,669987
size=128,kv map,5,,,3910774.0,ns,893316
size=128,kv map,5,,,4832937.0,ns,1116645
size=128,kv map,5,,,5814574.0,ns,1339974
size=128,kv map,5,,,6778515.0,ns,1563303
size=128,kv map,5,,,7755636.0,ns,1786632
size=128,kv map,5,,,8714207.0,ns,2009961
size=128,kv map,5,,,9678665.0,ns,2233290
size=128,kv map,5,,,10644458.0,ns,2456619
size=128,kv map,5,,,11619875.0,ns,2679948
size=128,kv map,5,,,12681490.0,ns,2903277
size=128,kv map,5,,,13558231.0,ns,3126606
size=128,kv map,5,,,14549655.0,ns,3349935
size=128,kv map,5,,,15475211.0,ns,3573264
size=128,kv map,5,,,16436553.0,ns,3796593
size=128,kv map,5,,,17415794.0,ns,4019922
size=128,kv map,5,,,18427175.0,ns,4243251
size=128,kv map,5,,,19355431.0,ns,4466580
size=128,kv map,5,,,20332532.0,ns,4689909
size=128,kv map,5,,,21260723.0,ns,4913238
size=128,kv map,5,,,22255940.0,ns,5136567
size=128,kv map,5,,,23224485.0,ns,5359896
size=128,kv map,5,,,24489363.0,ns,5583225
size=128,kv map,5,,,25173277.0,ns,5806554
size=128,kv map,5,,,26146383.0,ns,6029883
size=128,kv map,5,,,26981043.0,ns,6253212
size=128,kv map,5,,,28072291.0,ns,6476541
size=128,kv map,5,,,29023397.0,ns,6699870
size=128,kv map,5,,,30079095.0,ns,6923199
size=128,kv map,5,,,30989022.0,ns,7146528
size=128,kv map,5,,,31956173.0,ns,7369857
size=128,kv map,5,,,33899065.0,ns,7593186
size=128,kv map,5,,,34983732.0,ns,7816515
size=128,kv map,5,,,35834855.0,ns,8039844
size=128,kv map,5,,,36835265.0,ns,8263173
size=128,kv map,5,,,37007668.0,ns,8486502
size=128,kv map,5,,,37736566.0,ns,8709831
size=128,kv map,5,,,38714583.0,ns,8933160
size=128,kv map,5,,,41044389.0,ns,9156489
size=128,kv map,5,,,41960260.0,ns,9379818
size=128,kv map,5,,,41615429.0,ns,9603147
size=128,kv map,5,,,42409767.0,ns,9826476
size=128,kv map,5,,,43594089.0,ns,10049805
size=128,kv map,5,,,44507625.0,ns,10273134
size=128,kv map,5,,,45491270.0,ns,10496463
size=128,kv map,5,,,46472385.0,ns,10719792
size=128,kv map,5,,,47448599.0,ns,10943121
size=128,kv map,5,,,48419177.0,ns,11166450
size=128,kv map,5,,,49396890.0,ns,11389779
size=128,kv map,5,,,50623408.0,ns,11613108
size=128,kv map,5,,,51423349.0,ns,11836437
size=128,kv map,5,,,52325355.0,ns,12059766
size=128,kv map,5,,,53210170.0,ns,12283095
size=128,kv map,5,,,54107637.0,ns,12506424
size=128,kv map,5,,,55142176.0,ns,12729753
size=128,kv map,5,,,56853445.0,ns,12953082
size=128,kv map,5,,,56936402.0,ns,13176411
size=128,kv map,5,,,58053833.0,ns,13399740
size=128,kv map,5,,,58879132.0,ns,13623069
size=128,kv map,5,,,59805248.0,ns,13846398
size=128,kv map,5,,,60729159.0,ns,14069727
size=128,kv map,5,,,61925889.0,ns,14293056
size=128,kv map,5,,,62875351.0,ns,14516385
size=128,kv map,5,,,63933719.0,ns,14739714
size=128,kv map,5,,,64846131.0,ns,14963043
size=128,kv map,5,,,65804382.0,ns,15186372
size=128,kv map,5,,,67032373.0,ns,15409701
size=128,kv map,5,,,67931532.0,ns,15633030
size=128,kv map,5,,,68754480.0,ns,15856359
size=128,kv map,5,,,69585955.0,ns,16079688
size=128,kv map,5,,,70494560.0,ns,16303017
size=128,kv map,5,,,71583993.0,ns,16526346
size=128,kv map,5,,,71707467.0,ns,16749675
size=128,kv map,5,,,72167014.0,ns,16973004
size=128,kv map,5,,,73830972.0,ns,17196333
size=128,kv map,5,,,75390421.0,ns,17419662
size=128,kv map,5,,,76384642.0,ns,17642991
size=128,kv map,5,,,77544689.0,ns,17866320
size=128,kv map,5,,,78233496.0,ns,18089649
size=128,kv map,5,,,77756202.0,ns,18312978
size=128,kv map,5,,,79265645.0,ns,18536307
size=128,kv map,5,,,81292243.0,ns,18759636
size=128,kv map,5,,,82357303.0,ns,18982965
size=128,kv map,5,,,83256424.0,ns,19206294
size=128,kv map,5,,,84005238.0,ns,19429623
size=128,kv map,5,,,85192333.0,ns,19652952
size=128,kv map,5,,,86264262.0,ns,19876281
size=128,kv map,5,,,87000286.0,ns,20099610
size=128,kv map,5,,,88202679.0,ns,20322939
size=128,kv map,5,,,87072371.0,ns,20546268
size=128,kv map,5,,,88032630.0,ns,20769597
size=128,kv map,5,,,91138642.0,ns,20992926
size=128,kv map,5,,,92116762.0,ns,21216255
size=128,kv map,5,,,93053919.0,ns,21439584
size=128,kv map,5,,,93996242.0,ns,21662913
size=128,kv map,5,,,93747471.0,ns,21886242
size=128,kv map,5,,,93758299.0,ns,22109571
size=128,kv map,5,,,95697884.0,ns,22332900
