group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
size=32,binary map,30,,,1164774.0,ns,163890
size=32,binary map,30,,,1839767.0,ns,327780
size=32,binary map,30,,,2950234.0,ns,491670
size=32,binary map,30,,,3935281.0,ns,655560
size=32,binary map,30,,,4769246.0,ns,819450
size=32,binary map,30,,,5566271.0,ns,983340
size=32,binary map,30,,,6628004.0,ns,1147230
size=32,binary map,30,,,7892175.0,ns,1311120
size=32,binary map,30,,,8840283.0,ns,1475010
size=32,binary map,30,,,9223326.0,ns,1638900
size=32,binary map,30,,,10342686.0,ns,1802790
size=32,binary map,30,,,11393987.0,ns,1966680
size=32,binary map,30,,,12319887.0,ns,2130570
size=32,binary map,30,,,13469182.0,ns,2294460
size=32,binary map,30,,,14706036.0,ns,2458350
size=32,binary map,30,,,15316561.0,ns,2622240
size=32,binary map,30,,,16252343.0,ns,2786130
size=32,binary map,30,,,17082644.0,ns,2950020
size=32,binary map,30,,,18750140.0,ns,3113910
size=32,binary map,30,,,19217379.0,ns,3277800
size=32,binary map,30,,,20218254.0,ns,3441690
size=32,binary map,30,,,21304662.0,ns,3605580
size=32,binary map,30,,,22126225.0,ns,3769470
size=32,binary map,30,,,22774638.0,ns,3933360
size=32,binary map,30,,,23741585.0,ns,4097250
size=32,binary map,30,,,24793313.0,ns,4261140
size=32,binary map,30,,,25907128.0,ns,4425030
size=32,binary map,30,,,26905282.0,ns,4588920
size=32,binary map,30,,,27166758.0,ns,4752810
size=32,binary map,30,,,28257175.0,ns,4916700
size=32,binary map,30,,,29061850.0,ns,5080590
size=32,binary map,30,,,29929693.0,ns,5244480
size=32,binary map,30,,,30792509.0,ns,5408370
size=32,binary map,30,,,31515603.0,ns,5572260
size=32,binary map,30,,,33092748.0,ns,5736150
size=32,binary map,30,,,33697376.0,ns,5900040
size=32,binary map,30,,,34284787.0,ns,6063930
size=32,binary map,30,,,36974550.0,ns,6227820
size=32,binary map,30,,,37680769.0,ns,6391710
size=32,binary map,30,,,38428768.0,ns,6555600
size=32,binary map,30,,,39421153.0,ns,6719490
size=32,binary map,30,,,39939291.0,ns,6883380
size=32,binary map,30,,,40815939.0,ns,7047270
size=32,binary map,30,,,42435594.0,ns,7211160
size=32,binary map,30,,,43148992.0,ns,7375050
size=32,binary map,30,,,43968108.0,ns,7538940
size=32,binary map,30,,,44009195.0,ns,7702830
size=32,binary map,30,,,45115152.0,ns,7866720
size=32,binary map,30,,,46166993.0,ns,8030610
size=32,binary map,30,,,46427219.0,ns,8194500
size=32,binary map,30,,,47907214.0,ns,8358390
size=32,binary map,30,,,49864848.0,ns,8522280
size=32,binary map,30,,,50802852.0,ns,8686170
size=32,binary map,30,,,52288527.0,ns,8850060
size=32,binary map,30,,,54034745.0,ns,9013950
size=32,binary map,30,,,53230693.0,ns,9177840
size=32,binary map,30,,,53144643.0,ns,9341730
size=32,binary map,30,,,54155164.0,ns,9505620
size=32,binary map,30,,,56218872.0,ns,9669510
size=32,binary map,30,,,55539722.0,ns,9833400
size=32,binary map,30,,,58378159.0,ns,9997290
size=32,binary map,30,,,59602988.0,ns,10161180
size=32,binary map,30,,,59764734.0,ns,10325070
size=32,binary map,30,,,61300511.0,ns,10488960
size=32,binary map,30,,,63634622.0,ns,10652850
size=32,binary map,30,,,64244726.0,ns,10816740
size=32,binary map,30,,,65043755.0,ns,10980630
size=32,binary map,30,,,64926859.0,ns,11144520
size=32,binary map,30,,,65823589.0,ns,11308410
size=32,binary map,30,,,66701660.0,ns,11472300
size=32,binary map,30,,,68186533.0,ns,11636190
size=32,binary map,30,,,68840072.0,ns,11800080
size=32,binary map,30,,,67670333.0,ns,11963970
size=32,binary map,30,,,68316600.0,ns,12127860
size=32,binary map,30,,,69254280.0,ns,12291750
size=32,binary map,30,,,70414353.0,ns,12455640
size=32,binary map,30,,,71442762.0,ns,12619530
size=32,binary map,30,,,72683930.0,ns,12783420
size=32,binary map,30,,,73458917.0,ns,12947310
size=32,binary map,30,,,74326521.0,ns,13111200
size=32,binary map,30,,,75254624.0,ns,13275090
size=32,binary map,30,,,75273490.0,ns,13438980
size=32,binary map,30,,,75865721.0,ns,13602870
size=32,binary map,30,,,77309920.0,ns,13766760
size=32,binary map,30,,,77548773.0,ns,13930650
size=32,binary map,30,,,78008065.0,ns,14094540
size=32,binary map,30,,,79894437.0,ns,14258430
size=32,binary map,30,,,80990130.0,ns,14422320
size=32,binary map,30,,,80524462.0,ns,14586210
size=32,binary map,30,,,83037393.0,ns,14750100
size=32,binary map,30,,,82954322.0,ns,14913990
size=32,binary map,30,,,84070066.0,ns,15077880
size=32,binary map,30,,,84726548.0,ns,15241770
size=32,binary map,30,,,86434245.0,ns,15405660
size=32,binary map,30,,,86957201.0,ns,15569550
size=32,binary map,30,,,87771064.0,ns,15733440
size=32,binary map,30,,,89737553.0,ns,15897330
size=32,binary map,30,,,89761467.0,ns,16061220
size=32,binary map,30,,,90642419.0,ns,16225110
size=32,binary map,30,,,91207505.0,ns,16389000
